Department,gender,HSC,SSC,Income,Hometown,Computer,test preparation course,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall,race/ethnicity,parental level of education,lunch,math score,reading score,writing score,school,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,5,6,6,GP,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,yes,yes,no,no,4,3,4,1,1,3,6
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,5,5,6,GP,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,yes,yes,no,5,3,3,1,1,3,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,7,8,10,GP,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,yes,yes,yes,no,4,3,2,2,3,3,10
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,15,14,15,GP,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,6,10,10,GP,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,yes,yes,no,no,4,3,2,1,2,5,4
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,15,15,15,GP,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,12,12,11,GP,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,6,5,6,GP,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,yes,yes,no,no,4,1,4,1,1,1,6
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,16,18,19,GP,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,2,2,1,1,1,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,14,15,15,GP,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0
