Department,gender,HSC,SSC,Income,Hometown,Computer,test preparation course,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall,race/ethnicity,parental level of education,lunch,math score,reading score,writing score
Business Administration,Female,4.92,5.0,"Upper middle (30,000-50,000)",City,3.0,0-1 Hour,0-1 Hour,80%-100%,No,3.0,Yes,7th,3.467,3.467,Missing,Missing,Missing,0,0,0
Business Administration,Female,2.19,3.17,"Lower middle (15,000-30,000)",Village,3.0,0-1 Hour,2-3 Hours,80%-100%,No,3.0,Yes,4th,3.94,3.94,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.33,4.95,"Lower middle (15,000-30,000) ",City,3.0,0-1 Hour,More than 3 Hours,Below 40%,No,4.0,No,2nd,1.5,1.5,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.51,4.75,"Lower middle (15,000-30,000)",Village,1.0,0-1 Hour,More than 3 Hours,60%-79%,No,2.0,Yes,8th,1.83,1.71,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.58,4.94,"High (Above 50,000)",Village,3.0,0-1 Hour,More than 3 Hours,Below 40%,No,4.0,No,5th,1.33,1.9,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.58,3.96,"Upper middle (30,000-50,000)",City,3.0,0-1 Hour,More than 3 Hours,40%-59%,No,4.0,No,8th,2.11,2.17,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.58,5.0,"Lower middle (15,000-30,000)",Village,4.0,0-1 Hour,More than 3 Hours,40%-59%,No,4.0,No,2nd,2.31,2.31,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.83,4.94,"High (Above 50,000)",Village,1.0,0-1 Hour,More than 3 Hours,40%-59%,No,4.0,No,5th,2.33,2.33,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.42,4.14,"High (Above 50,000)",City,4.0,0-1 Hour,More than 3 Hours,40%-59%,No,4.0,No,2nd,2.38,2.38,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.0,5.0,"High (Above 50,000)",Village,3.0,0-1 Hour,More than 3 Hours,40%-59%,No,4.0,No,2nd,2.38,2.38,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.0,5.0,"High (Above 50,000) ",City,4.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,10th,2.75,2.75,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.0,4.89,"High (Above 50,000)",City,3.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,8th,2.79,2.75,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.67,5.0,"High (Above 50,000)",City,3.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,8th,2.83,2.75,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,4.5,4.5,"Upper middle (30,000-50,000)",City,1.0,0-1 Hour,More than 3 Hours,60%-79%,Yes,4.0,No,8th,2.76,2.75,Missing,Missing,Missing,0,0,0
Computer Science and Engineering,Female,3.25,4.17,"Lower middle (15,000-30,000)",City,5.0,0-1 Hour,More than 3 Hours,60%-79%,No,4.0,No,6th,2.88,2.75,Missing,Missing,Missing,0,0,0
